Page,Height(px),Status,Suggestion
b'http://barc.gov.bd',2125,Flash Scrolling,Page height =< 1556 px
b'http://barc.gov.bd/accessibility.html',1439,Ok,None
b'http://barc.gov.bd/',2125,Flash Scrolling,Page height =< 1556 px
b'http://barc.gov.bd/site/page/2a3319ef-08d2-4818-baf1-663832d9b582/',2202,Flash Scrolling,Page height =< 1556 px
b'http://barc.gov.bd/site/page/4653dfa7-7de6-42f8-88e5-5e5471775b3e/',2202,Flash Scrolling,Page height =< 1556 px
